script	scriptLabel	language	code	label_en
http://www.wikidata.org/entity/Q137733205	Ewe Braille	http://www.wikidata.org/entity/Q30005	ee	Ewe
http://www.wikidata.org/entity/Q278446	Filipino alphabet	http://www.wikidata.org/entity/Q33239	ceb	Cebuano
http://www.wikidata.org/entity/Q278446	Filipino alphabet	http://www.wikidata.org/entity/Q35978	hil	Hiligaynon
http://www.wikidata.org/entity/Q278446	Filipino alphabet	http://www.wikidata.org/entity/Q33720	krj	Karay-a
http://www.wikidata.org/entity/Q278446	Filipino alphabet	http://www.wikidata.org/entity/Q33879	pag	Pangasinan
http://www.wikidata.org/entity/Q278446	Filipino alphabet	http://www.wikidata.org/entity/Q34057	tl	Tagalog
http://www.wikidata.org/entity/Q18691434	Finnish alphabet	http://www.wikidata.org/entity/Q13357	fit	Meänkieli
http://www.wikidata.org/entity/Q13092897	Formal Javanese Spelling	http://www.wikidata.org/entity/Q33549	jv	Javanese
http://www.wikidata.org/entity/Q3909779	French Braille	http://www.wikidata.org/entity/Q150	fr	French
http://www.wikidata.org/entity/Q755124	French alphabet	http://www.wikidata.org/entity/Q150	fr	French
http://www.wikidata.org/entity/Q755124	French alphabet	http://www.wikidata.org/entity/Q33850	fr-x-nrm	Norman
http://www.wikidata.org/entity/Q755124	French alphabet	http://www.wikidata.org/entity/Q33850	nrm	Norman
http://www.wikidata.org/entity/Q755124	French alphabet	http://www.wikidata.org/entity/Q33850	nrf	Norman
http://www.wikidata.org/entity/Q137733093	Ga Braille	http://www.wikidata.org/entity/Q33287	gaa	Ga
http://www.wikidata.org/entity/Q30344912	Gaelic alphabet	http://www.wikidata.org/entity/Q9314	gd	Scottish Gaelic
http://www.wikidata.org/entity/Q1432616	Gaelic type	http://www.wikidata.org/entity/Q9142	ga	Irish
http://www.wikidata.org/entity/Q754989	Gaj's Latin alphabet	http://www.wikidata.org/entity/Q6654	hr	Croatian
http://www.wikidata.org/entity/Q754989	Gaj's Latin alphabet	http://www.wikidata.org/entity/Q9301	sh	Serbo-Croatian
http://www.wikidata.org/entity/Q3095302	Garay	http://www.wikidata.org/entity/Q34257	wo	Wolof
http://www.wikidata.org/entity/Q11300624	Georgian Braille	http://www.wikidata.org/entity/Q8108	ka	Georgian
http://www.wikidata.org/entity/Q161428	Georgian scripts	http://www.wikidata.org/entity/Q8108	ka	Georgian
http://www.wikidata.org/entity/Q161428	Georgian scripts	http://www.wikidata.org/entity/Q1160372	lzz	Laz
http://www.wikidata.org/entity/Q161428	Georgian scripts	http://www.wikidata.org/entity/Q13359	xmf	Mingrelian
http://www.wikidata.org/entity/Q2605738	German Braille	http://www.wikidata.org/entity/Q188	de	German
http://www.wikidata.org/entity/Q912243	German alphabet	http://www.wikidata.org/entity/Q188	de	German
http://www.wikidata.org/entity/Q912243	German alphabet	http://www.wikidata.org/entity/Q152965	sli	Silesian German
